Timestamp,Your suggestions,Before,After
10/27/22 15:48,"More ECE course options.
More RA/TA opportunities.
Lower housing rent.
Having additional advising for courses by people who are familiar with courses in the department (especially for grad students)
lesser number of minimum compulsory credits for international students

More ECE course options.
More RA/TA opportunities.
Lower housing rent.
Having additional advising for courses by people who are familiar with
courses in the department (especially for grad students)
Lesser number of minimum compulsory credits for international students","['More ECE course options.', 'More RA/TA opportunities.', 'Lower housing rent.', 'Having additional advising for courses by people who are familiar with courses in the department (especially for grad students)', 'lesser number of minimum compulsory credits for international students']","['More ECE course options.', 'More RA/TA opportunities.', 'Lower housing rent.', 'Having additional advising for courses by people who are familiar with', 'courses in the department (especially for grad students)', 'Lesser number of minimum compulsory credits for international students']"
10/27/22 15:49,"More RA/TA opportunities
Lower tuition fees and fee for out of state students
Exam archive for students to prep for tests
Easy switch between program discipline if student lose their interest
Course material recorded

Providing more projects that give a hands on experience to students.
Reducing the number of exams but increasing the number of HW
Explaining the concepts of networking by showing code examples from system.
Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain","['More RA/TA opportunities', 'Lower tuition fees and fee for out of state students', 'Exam archive for students to prep for tests', 'Easy switch between program discipline if student lose their interest', 'Course material recorded']","['Providing more projects that give a hands on experience to students.', 'Reducing the number of exams but increasing the number of HW', 'Explaining the concepts of networking by showing code examples from system.', 'Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain']"
10/27/22 15:50,"Having more common spaces to do work on campus (in addition to CULC + Crosland)
Having umbrellas that can be borrowed on campus
more public transport
Mandatory physical and mental health classes
Discounts on COSTCO for foods and gas

Healthier food options
Better course options
More support for job search
More funding opportunities
Better communication from course TAs and instructors.","['Having more common spaces to do work on campus (in addition to CULC + Crosland)', 'Having umbrellas that can be borrowed on campus', 'more public transport', 'Mandatory physical and mental health classes', 'Discounts on COSTCO for foods and gas']","['Healthier food options', 'Better course options', 'More support for job search', 'More funding opportunities', 'Better communication from course TAs and instructors.']"
10/27/22 15:50,"More opportunities for on-campus jobs (teaching or research Assistant)
Better ECE classes
Safety on campus
Better public transportation (Access to MARTA)
Better food on campus

Safety on campus
Better quality of housing
Better public transportation
Better quality of food 
Fun activities/events","['More opportunities for on-campus jobs (teaching or research Assistant)', 'Better ECE classes', 'Safety on campus', 'Better public transportation (Access to MARTA)', 'Better food on campus']","['Safety on campus', 'Better quality of housing', 'Better public transportation', 'Better quality of food ', 'Fun activities/events']"
10/27/22 15:51,"Revised testing format 
Reduce parking fee
More food options on campus
Renovated and more campus housing options 
More seating/outlets 

Reduce student fees 
More food options on campus 
Reduce traffic on campus 
More seating locations on campus 
More on campus activities for students","['Revised testing format ', 'Reduce parking fee', 'More food options on campus', 'Renovated and more campus housing options ', 'More seating/outlets ']","['Reduce student fees ', 'More food options on campus ', 'Reduce traffic on campus ', 'More seating locations on campus ', 'More on campus activities for students']"
10/27/22 15:51,"Better course offerings
Wider variety of food options on campus
Increased seating on campus
Improve Wifi speed
Profs/TAs being more responsive on Piazza

Make meal plans more flexible/affordable
Make class syllabi publicly available
Increase frequency of free, fun events put on for students
Create more study spaces on campus
Make it easier to make appointments at Stamps","['Better course offerings', 'Wider variety of food options on campus', 'Increased seating on campus', 'Improve Wifi speed', 'Profs/TAs being more responsive on Piazza']","['Make meal plans more flexible/affordable', 'Make class syllabi publicly available', 'Increase frequency of free, fun events put on for students', 'Create more study spaces on campus', 'Make it easier to make appointments at Stamps']"
10/27/22 15:51,"Easier and free access to mental health help
Mode of conduct of lectures should be both in-person and remote in every course
Only open book exams to ensure conceptual understanding
Each grad student has1 advisor to know closely what is their academic progress
More stinger bus routes

Revised testing format as a standard (take home, open book, open notes)
Better/more seating with access to outlet
Fewer required ECE undergrad class (such as 3005 or 2031)
Improved ECE advising/forms process (graduation, minors, etc)
Increased shuttle/bus times and reliability","['Easier and free access to mental health help', 'Mode of conduct of lectures should be both in-person and remote in every course', 'Only open book exams to ensure conceptual understanding', 'Each grad student has1 advisor to know closely what is their academic progress', 'More stinger bus routes']","['Revised testing format as a standard (take home, open book, open notes)', 'Better/more seating with access to outlet', 'Fewer required ECE undergrad class (such as 3005 or 2031)', 'Improved ECE advising/forms process (graduation, minors, etc)', 'Increased shuttle/bus times and reliability']"
10/27/22 15:51,"More variety of offered courses
More RA/TA opportunities.
Better Transportation
Lower student fees
Availability of graduate student living

Having umbrellas that can be borrowed on campus
Increasing visibility and ease of using dining hallsHealthier food options
Better course options
More support for job search
More funding opportunities","['More variety of offered courses', 'More RA/TA opportunities.', 'Better Transportation', 'Lower student fees', 'Availability of graduate student living']","['Having umbrellas that can be borrowed on campus', 'Increasing visibility and ease of using dining hallsHealthier food options', 'Better course options', 'More support for job search', 'More funding opportunities']"
10/27/22 15:52,"Increase opportunities for GRA/GTA roles in ECE department
Increased number of on-campus employment opportunities for student
More collaboration based assignments
better faculty benefits
safe neighbor

less homework
more stinger bus routes
more classes offered
more extra credit offered
less tests","['Increase opportunities for GRA/GTA roles in ECE department', 'Increased number of on-campus employment opportunities for student', 'More collaboration based assignments', 'better faculty benefits', 'safe neighbor']","['less homework', 'more stinger bus routes', 'more classes offered', 'more extra credit offered', 'less tests']"
10/27/22 15:52,"Add more automated seats for each course and smoothen the registration process such that all students can take courses they desire
Availability of graduate student living
Exams should not hold a lot of weightage, instead there should be multiple assignments for grading
only open book exams to ensure conceptual understanding stress busting activities every week on campus
Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly

Easy switch between the programs or disciplines if students lose their interest in their current program
Adding more breaks/holidays during the semester normalizes students workload
Giving opportunity to students to drop courses anytime during the semester without affecting their transcript
Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning
Mode of conduct of lectures should be both in-person and remote in every course","['Add more automated seats for each course and smoothen the registration process such that all students can take courses they desire', 'Availability of graduate student living', 'Exams should not hold a lot of weightage, instead there should be multiple assignments for grading', 'only open book exams to ensure conceptual understanding stress busting activities every week on campus', 'Cheaper prices of food on campus. Most students at Tech work throughout the day and generally do not have much time to cook for themselves. Student either spend more money of food or eat very irregularly']","['Easy switch between the programs or disciplines if students lose their interest in their current program', 'Adding more breaks/holidays during the semester normalizes students workload', 'Giving opportunity to students to drop courses anytime during the semester without affecting their transcript', 'Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning', 'Mode of conduct of lectures should be both in-person and remote in every course']"
