Timestamp,Type,Priority,Suggestion,index_num
10/27/22 15:48,0,1,More ECE course options.,0
10/27/22 15:48,0,2,More RA/TA opportunities.,1
10/27/22 15:48,0,3,Lower housing rent.,2
10/27/22 15:48,0,4,Having additional advising for courses by people who are familiar with courses in the department (especially for grad students),3
10/27/22 15:48,0,5,lesser number of minimum compulsory credits for international students,4
10/27/22 15:48,1,1,More ECE course options.,5
10/27/22 15:48,1,2,More RA/TA opportunities.,6
10/27/22 15:48,1,3,Lower housing rent.,7
10/27/22 15:48,1,4,Having additional advising for courses by people who are familiar with,8
10/27/22 15:48,1,5,courses in the department (especially for grad students),9
10/27/22 15:49,0,1,More RA/TA opportunities,10
10/27/22 15:49,0,2,Lower tuition fees and fee for out of state students,11
10/27/22 15:49,0,3,Exam archive for students to prep for tests,12
10/27/22 15:49,0,4,Easy switch between program discipline if student lose their interest,13
10/27/22 15:49,1,1,Providing more projects that give a hands on experience to students.,14
10/27/22 15:49,1,2,Reducing the number of exams but increasing the number of HW,15
10/27/22 15:49,1,3,Explaining the concepts of networking by showing code examples from system.,16
10/27/22 15:49,1,4,"Giving the students a few research papers to write a survey on, thus giving students more exposure to present day research in the domain",17
10/27/22 15:50,0,1,Having more common spaces to do work on campus (in addition to CULC + Crosland),18
10/27/22 15:50,0,2,Having umbrellas that can be borrowed on campus,19
10/27/22 15:50,0,3,more public transport,20
10/27/22 15:50,0,4,Mandatory physical and mental health classes,21
10/27/22 15:50,0,5,Discounts on COSTCO for foods and gas,22
10/27/22 15:50,1,1,Healthier food options,23
10/27/22 15:50,1,2,Better course options,24
10/27/22 15:50,1,3,More support for job search,25
10/27/22 15:50,1,4,More funding opportunities,26
10/27/22 15:50,1,5,Better communication from course TAs and instructors.,27
10/27/22 15:50,0,1,More opportunities for on-campus jobs (teaching or research Assistant),28
10/27/22 15:50,0,2,Better ECE classes,29
10/27/22 15:50,0,3,Safety on campus,30
10/27/22 15:50,0,4,Better public transportation (Access to MARTA),31
10/27/22 15:50,0,5,Better food on campus,32
10/27/22 15:50,1,1,Safety on campus,33
10/27/22 15:50,1,2,Better quality of housing,34
10/27/22 15:50,1,3,Better public transportation,35
10/27/22 15:50,1,4,Better quality of food ,36
10/27/22 15:50,1,5,Fun activities/events,37
10/27/22 15:51,0,1,Revised testing format ,38
10/27/22 15:51,0,2,Reduce parking fee,39
10/27/22 15:51,0,3,More food options on campus,40
10/27/22 15:51,0,4,Renovated and more campus housing options ,41
10/27/22 15:51,0,5,More seating/outlets ,42
10/27/22 15:51,1,1,Reduce student fees ,43
10/27/22 15:51,1,2,More food options on campus ,44
10/27/22 15:51,1,3,Reduce traffic on campus ,45
10/27/22 15:51,1,4,More seating locations on campus ,46
10/27/22 15:51,1,5,More on campus activities for students,47
10/27/22 15:51,0,1,Better course offerings,48
10/27/22 15:51,0,2,Wider variety of food options on campus,49
10/27/22 15:51,0,3,Increased seating on campus,50
10/27/22 15:51,0,4,Improve Wifi speed,51
10/27/22 15:51,0,5,Profs/TAs being more responsive on Piazza,52
10/27/22 15:51,1,1,Make meal plans more flexible/affordable,53
10/27/22 15:51,1,2,Make class syllabi publicly available,54
10/27/22 15:51,1,3,"Increase frequency of free, fun events put on for students",55
10/27/22 15:51,1,4,Create more study spaces on campus,56
10/27/22 15:51,1,5,Make it easier to make appointments at Stamps,57
10/27/22 15:51,0,1,Easier and free access to mental health help,58
10/27/22 15:51,0,2,Mode of conduct of lectures should be both in-person and remote in every course,59
10/27/22 15:51,0,3,Only open book exams to ensure conceptual understanding,60
10/27/22 15:51,0,4,Each grad student has1 advisor to know closely what is their academic progress,61
10/27/22 15:51,0,5,More stinger bus routes,62
10/27/22 15:51,1,1,"Revised testing format as a standard (take home, open book, open notes)",63
10/27/22 15:51,1,2,Better/more seating with access to outlet,64
10/27/22 15:51,1,3,Fewer required ECE undergrad class (such as 3005 or 2031),65
10/27/22 15:51,1,4,"Improved ECE advising/forms process (graduation, minors, etc)",66
10/27/22 15:51,1,5,Increased shuttle/bus times and reliability,67
10/27/22 15:51,0,1,More variety of offered courses,68
10/27/22 15:51,0,2,More RA/TA opportunities.,69
10/27/22 15:51,0,3,Better Transportation,70
10/27/22 15:51,0,4,Lower student fees,71
10/27/22 15:51,0,5,Availability of graduate student living,72
10/27/22 15:51,1,1,Having umbrellas that can be borrowed on campus,73
